50 1 100 100 51
50 2 149 128 103
50 3 197 170 137
50 4 244 182 124
50 5 290 251 158
50 6 335 263 252
50 7 379 270 205
50 8 422 212 138
50 9 462 405 163
50 10 505 327 217
50 11 545 341 281
50 12 584 350 237
50 13 622 481 285
50 14 659 458 317
50 15 695 406 279
50 16 730 557 302
50 17 764 595 295
50 18 797 570 358
50 19 829 664 355
50 20 860 616 320
50 21 890 548 346
50 22 919 579 342
50 23 913 527 320
50 24 974 719 373
50 25 962 692 377
50 26 1025 651 341
50 27 1049 733 353
50 28 1072 794 366
50 29 1056 703 367
50 30 1089 815 406
50 31 1066 782 354
50 32 1154 890 373
50 33 1087 849 378
50 34 1065 886 386
50 35 1205 1025 381
50 36 1188 965 414
50 37 1204 1026 409
50 38 1130 832 393
50 39 1229 1007 386
50 40 1190 1060 400
50 41 1062 905 382
50 42 1289 1053 229
50 43 1078 951 280
50 44 1181 944 301
50 45 1276 1158 308
50 46 1252 1107 177
50 47 1244 1242 381
50 48 477 334 284
50 49 699 626 307
50 50 0 0 0
